domain	doc_id	adu_pos	annotator	main_unit	aty	coarse_aty	second_type	coarse_second_type	parent_pos	parent_pos_rel	afu	text	text_parent
BIO	10206300	1	mn	secondary	motivation_background	motivation	none	none	2	1	support	Matrix metalloproteinases (MMPs) have been implicated as important factors in gliomas since they may both facilitate invasion into the surrounding brain and participate in neovascularization.	We have tested the hypothesis that deregulated expression of gelatinase-A or B, or an activator of gelatinase-A, MT1-MMP, may contribute directly to human gliomas by quantifying the expression of these MMPs in 46 brain tumour specimens and seven control tissues.
BIO	10206300	2	mn	main	proposal	proposal	none	none	0	0	none	We have tested the hypothesis that deregulated expression of gelatinase-A or B, or an activator of gelatinase-A, MT1-MMP, may contribute directly to human gliomas by quantifying the expression of these MMPs in 46 brain tumour specimens and seven control tissues.	
BIO	10206300	3	mn	secondary	result_means	outcomes	none	none	2	-1	support	Quantitative RT-PCR and gelatin zymography showed that gelatinase-A in glioma specimens was higher than in normal tissue; these were significantly elevated in low grade gliomas and remained elevated in GBMs.	We have tested the hypothesis that deregulated expression of gelatinase-A or B, or an activator of gelatinase-A, MT1-MMP, may contribute directly to human gliomas by quantifying the expression of these MMPs in 46 brain tumour specimens and seven control tissues.
BIO	10206300	4	mn	secondary	result	outcomes	none	none	3	-1	elaboration	Gelatinase-B transcript and activity levels were also higher than in normal brain and more strongly correlated with tumour grade.	Quantitative RT-PCR and gelatin zymography showed that gelatinase-A in glioma specimens was higher than in normal tissue; these were significantly elevated in low grade gliomas and remained elevated in GBMs.
BIO	10206300	5	mn	secondary	observation	outcomes	none	none	3	-2	support	We did not see a close relationship between the levels of expression of MT1-MMP mRNA and amounts of activated gelatinase-A.	Quantitative RT-PCR and gelatin zymography showed that gelatinase-A in glioma specimens was higher than in normal tissue; these were significantly elevated in low grade gliomas and remained elevated in GBMs.
BIO	10206300	6	mn	secondary	result	outcomes	none	none	2	-4	support	In situ hybridization localized gelatinase-A and MT1-MMP transcripts to normal neuronal and glia, malignant glioma cells and blood vessels.	We have tested the hypothesis that deregulated expression of gelatinase-A or B, or an activator of gelatinase-A, MT1-MMP, may contribute directly to human gliomas by quantifying the expression of these MMPs in 46 brain tumour specimens and seven control tissues.
BIO	10206300	7	mn	secondary	result	outcomes	none	none	6	-1	elaboration	In contrast, gelatinase-B showed a more restricted pattern of expression; it was strongly expressed in blood vessels at proliferating margins, as well as tumour cells in some cases.	In situ hybridization localized gelatinase-A and MT1-MMP transcripts to normal neuronal and glia, malignant glioma cells and blood vessels.
BIO	10206300	8	mn	secondary	conclusion	outcomes	none	none	2	-6	support	These data suggest that gelatinase-A, -B and MT1-MMP are important in the pathophysiology of human gliomas.	We have tested the hypothesis that deregulated expression of gelatinase-A or B, or an activator of gelatinase-A, MT1-MMP, may contribute directly to human gliomas by quantifying the expression of these MMPs in 46 brain tumour specimens and seven control tissues.
BIO	10206300	9	mn	secondary	conclusion	outcomes	none	none	2	-7	support	The primary role of gelatinase-B may lie in remodelling associated with neovascularization, whereas gelatinase-A and MT1-MMP may be involved in both glial invasion and angiogenesis.	We have tested the hypothesis that deregulated expression of gelatinase-A or B, or an activator of gelatinase-A, MT1-MMP, may contribute directly to human gliomas by quantifying the expression of these MMPs in 46 brain tumour specimens and seven control tissues.
BIO	10820269	1	mn	secondary	motivation_background	motivation	none	none	2	1	support	We have previously documented that rat IL-2-activated NK (A-NK) cells produce matrix metalloproteinase-2 (MMP-2) and MMP-9.	In this study, we describe mouse A-NK cell-derived MMPs, including MT-MMPs, and also TIMPs.
