domain	doc_id	adu_pos	annotator	main_unit	aty	coarse_aty	second_type	coarse_second_type	parent_pos	parent_pos_rel	afu	text	text_parent
CL	D14-1002	1	pa	main	proposal	proposal	none	none	0	0	none	This paper presents a deep semantic similarity model ( DSSM ) , a special type of deep neural networks designed for text analysis , for recommending target documents to be of interest to a user based on a source document that she is reading .	
CL	D14-1002	2	pa	secondary	proposal_implementation	proposal	none	none	3	1	elaboration	We observe , identify , and detect naturally occurring signals of interestingness in click transitions on the Web between source and target documents , which we collect from commercial Web browser logs .	The DSSM is trained on millions of Web transitions , and maps source-target document pairs to feature vectors in a latent space in such a way that the distance between source documents and their corresponding interesting targets in that space is minimized .
CL	D14-1002	3	pa	secondary	proposal_implementation	proposal	none	none	1	-2	elaboration	The DSSM is trained on millions of Web transitions , and maps source-target document pairs to feature vectors in a latent space in such a way that the distance between source documents and their corresponding interesting targets in that space is minimized .	This paper presents a deep semantic similarity model ( DSSM ) , a special type of deep neural networks designed for text analysis , for recommending target documents to be of interest to a user based on a source document that she is reading .
CL	D14-1002	4	pa	secondary	means	method	none	none	5	1	by-means	The effectiveness of the DSSM is demonstrated using two interestingness tasks : automatic highlighting and contextual entity search .	The results on large-scale , real-world datasets show that the semantics of documents are important for modeling interestingness and that the DSSM leads to significant quality improvement on both tasks , outperforming not only the classic document models that do not use semantics but also state-of-the-art topic models .
CL	D14-1002	5	pa	secondary	result_means	outcomes	none	none	1	-4	support	The results on large-scale , real-world datasets show that the semantics of documents are important for modeling interestingness and that the DSSM leads to significant quality improvement on both tasks , outperforming not only the classic document models that do not use semantics but also state-of-the-art topic models .	This paper presents a deep semantic similarity model ( DSSM ) , a special type of deep neural networks designed for text analysis , for recommending target documents to be of interest to a user based on a source document that she is reading .
CL	D14-1003	1	pa	main	proposal	proposal	none	none	0	0	none	This work presents two different translation models using recurrent neural networks .	
CL	D14-1003	2	pa	secondary	proposal	proposal	none	none	1	-1	elaboration	The first one is a word-based approach using word alignments .	This work presents two different translation models using recurrent neural networks .
CL	D14-1003	3	pa	secondary	proposal	proposal	none	none	1	-2	elaboration	Second , we present phrase-based translation models that are more consistent with phrase-based decoding .	This work presents two different translation models using recurrent neural networks .
CL	D14-1003	4	pa	secondary	proposal	proposal	none	none	1	-3	elaboration	Moreover , we introduce bidirectional recurrent neural models to the problem of machine translation , allowing us to use the full source sentence in our models , which is also of theoretical interest .	This work presents two different translation models using recurrent neural networks .
CL	D14-1003	5	pa	secondary	result_means	outcomes	none	none	1	-4	support	We demonstrate that our translation models are capable of improving strong baselines already including recurrent neural language models on three tasks : IWSLT 2013 German to English , BOLT Arabic to English and Chinese to English .	This work presents two different translation models using recurrent neural networks .
